term,intercept,std_error,df,t_value,pr_t,region_name,aic,sd,singular,model
(Intercept),8.2,3.348,14.608,2.45,0.027,AK_JN,36.895,0.547,FALSE,75th
site_temp75,0.136,0.239,14.534,0.568,0.578,AK_JN,36.895,0.547,FALSE,75th
(Intercept),-15.315,40.224,NA,-0.381,NA,AK_SE,18.603,0.507,TRUE,75th
site_temp75,1.892,2.893,NA,0.654,NA,AK_SE,18.603,0.507,TRUE,75th
(Intercept),-9.31,5.466,NA,-1.703,NA,BC_HG,62.307,0.697,TRUE,75th
site_temp75,1.377,0.364,NA,3.778,NA,BC_HG,62.307,0.697,TRUE,75th
(Intercept),15.366,13.006,13.881,1.181,0.257,BC_CC,57.717,1.056,FALSE,75th
site_temp75,-0.29,0.832,13.951,-0.349,0.733,BC_CC,57.717,1.056,FALSE,75th
(Intercept),15.216,2.314,13.059,6.576,0,BC_NV,32.643,0.483,FALSE,75th
site_temp75,-0.303,0.164,12.86,-1.847,0.088,BC_NV,32.643,0.483,FALSE,75th
(Intercept),12.712,5.379,NA,2.363,NA,BC_IC,42.389,0.631,TRUE,75th
site_temp75,-0.052,0.301,NA,-0.174,NA,BC_IC,42.389,0.631,TRUE,75th
(Intercept),12.307,4.058,NA,3.033,NA,BC_PP,54.042,0.611,TRUE,75th
site_temp75,-0.064,0.265,NA,-0.242,NA,BC_PP,54.042,0.611,TRUE,75th
(Intercept),11.325,0.955,29.933,11.857,0,WA_PS,51.865,0.429,FALSE,75th
site_temp75,0.024,0.063,29.396,0.389,0.7,WA_PS,51.865,0.429,FALSE,75th
(Intercept),12.267,2.608,17.993,4.704,0,WA_WB,45.403,0.597,FALSE,75th
site_temp75,0.003,0.157,17.994,0.02,0.984,WA_WB,45.403,0.597,FALSE,75th
(Intercept),14.088,5.398,9.511,2.61,0.027,OR_YB,14.271,0.355,FALSE,75th
site_temp75,-0.185,0.392,9.449,-0.472,0.648,OR_YB,14.271,0.355,FALSE,75th
(Intercept),12.392,4.895,2.115,2.532,0.12,OR_CB,8.746,0.562,FALSE,75th
site_temp75,-0.013,0.353,2.073,-0.037,0.974,OR_CB,8.746,0.562,FALSE,75th
(Intercept),20.202,0.129,NA,156.055,NA,CA_HB,-1.028,0,TRUE,75th
site_temp75,-0.573,0,NA,-3258763.615,NA,CA_HB,-1.028,0,TRUE,75th
(Intercept),27.8,13.079,NA,2.126,NA,CA_NC,50.58,1.524,TRUE,75th
site_temp75,-1.023,0.906,NA,-1.13,NA,CA_NC,50.58,1.524,TRUE,75th
(Intercept),30.426,7.198,NA,4.227,NA,CA_SF,38.846,1.305,TRUE,75th
site_temp75,-0.912,0.406,NA,-2.243,NA,CA_SF,38.846,1.305,TRUE,75th
(Intercept),10.802,1.808,4.224,5.975,0.003,CA_MB,4.649,0.216,FALSE,75th
site_temp75,0.222,0.117,4.002,1.903,0.13,CA_MB,4.649,0.216,FALSE,75th
(Intercept),7.406,17.547,17.041,0.422,0.678,CA_LA,61.249,1.144,FALSE,75th
site_temp75,0.592,0.841,17.057,0.704,0.491,CA_LA,61.249,1.144,FALSE,75th
(Intercept),55.489,24.691,11.534,2.247,0.045,CA_SD,72.27,2.129,FALSE,75th
site_temp75,-1.625,1.123,11.495,-1.447,0.175,CA_SD,72.27,2.129,FALSE,75th
