term,intercept,std_error,df,t_value,pr_t,region_name,aic,sd,singular,model
(Intercept),14.256,1.513,2.388,9.42,0.006,OR_CB,8.679,0.428,FALSE,upwelling
beuti_year,-0.184,0.132,2.119,-1.397,0.291,OR_CB,8.679,0.428,FALSE,upwelling
(Intercept),9.736,0.144,NA,67.731,NA,CA_HB,2.546,0,TRUE,upwelling
beuti_year,0.117,0,NA,3472346.585,NA,CA_HB,2.546,0,TRUE,upwelling
(Intercept),20.168,1.056,15.845,19.099,0,CA_LA,61.553,1.186,FALSE,upwelling
beuti_year,-0.347,0.872,13.716,-0.398,0.697,CA_LA,61.553,1.186,FALSE,upwelling
(Intercept),14.752,0.405,2.434,36.404,0,CA_MB,6.343,0.2,FALSE,upwelling
beuti_year,-0.077,0.035,4.007,-2.203,0.092,CA_MB,6.343,0.2,FALSE,upwelling
(Intercept),8.496,1.04,25.996,8.172,0,CA_NC,93.741,1.051,FALSE,upwelling
beuti_year,0.443,0.092,21.726,4.821,0,CA_NC,93.741,1.051,FALSE,upwelling
(Intercept),13.744,2.726,NA,5.042,NA,CA_SF,43.452,1.624,TRUE,upwelling
beuti_year,0.074,0.264,NA,0.279,NA,CA_SF,43.452,1.624,TRUE,upwelling
(Intercept),16.782,4.713,12.344,3.561,0.004,CA_SD,70.068,2.288,FALSE,upwelling
beuti_year,4.69,7.348,11.994,0.638,0.535,CA_SD,70.068,2.288,FALSE,upwelling
(Intercept),7.432,2.625,17.879,2.831,0.011,WA_WB,38.104,0.571,FALSE,upwelling
beuti_year,2.211,1.19,17.756,1.858,0.08,WA_WB,38.104,0.571,FALSE,upwelling
(Intercept),11.109,0.653,9.674,17.006,0,OR_YB,16.668,0.351,FALSE,upwelling
beuti_year,0.071,0.103,8.622,0.69,0.508,OR_YB,16.668,0.351,FALSE,upwelling
